name,short_description,genres,release_date,developer,publisher,overall_player_rating,number_of_reviews_from_purchased_people,number_of_english_reviews,link
Manor Lords,"Manor Lords is a medieval strategy game featuring in-depth city building, large-scale tactical battles, and complex economic and social simulations. Rule your lands as a medieval lord – the seasons pass, the weather changes, and cities rise and fall.","Strategy, City Builder, Simulation, Base Building, Grand Strategy, Management, Building, Resource Management, Sandbox, Colony Sim, Historical, Survival, Open World, Moddable, Singleplayer, Medieval, RTS, Early Access, Replay Value, Economy",2024-04-26,Slavic Magic,Hooded Horse,Very Positive,"(47,473)",27736,https://store.steampowered.com/app/1363080/Manor_Lords?snr=1_category_4_strategy_salebrowseall
Transport Fever 2,"The classic transport simulation genre has a new gold standard with Transport Fever 2. Discover a whole new world by navigating transport routes through land, water and air. May progress and prosperity find their way!","Simulation, Strategy, Management, Transportation, City Builder, Trains, Economy, Sandbox, Building, Singleplayer, Realistic, Moddable, Open World, Resource Management, Flight, Casual, Indie, Games Workshop, Naval, Mod",2019-12-11,Urban Games,Good Shepherd Entertainment,Very Positive,"(20,152)",9456,https://store.steampowered.com/app/1066780/Transport_Fever_2?snr=1_category_4_strategy_salebrowseall
"Warhammer 40,000: Rogue Trader","Made in a close partnership with Games Workshop, Warhammer 40,000: Rogue Trader is a story-rich classical RPG from Owlcat Games, developers of the critically acclaimed game, Pathfinder: Wrath of the Righteous.","Cinematic, Online Co-Op, Multiplayer, Turn-Based Strategy, Strategy RPG, Collectathon, Dungeon Crawler, Space, Atmospheric, Multiple Endings, Tactical RPG, Mystery, Sci-fi, Tactical, Dark Humor, RPG, Character Customization, Choices Matter, Combat, Exploration",2023-12-07,Owlcat Games,Owlcat Games,Mostly Positive,"(13,539)",11349,https://store.steampowered.com/app/2186680/Warhammer_40000_Rogue_Trader?snr=1_category_4_strategy_salebrowseall
Stolen Realm,"Stolen Realm is a simultaneous turn-based tactical dungeon crawling looter with action RPG elements where you control up to 6 heroes, solo or through online co-op, venturing forth in adventures set in a high-fantasy, low-poly world.","Turn-Based Tactics, Party-Based RPG, Tactical RPG, CRPG, Turn-Based Strategy, RPG, Character Customization, Online Co-Op, Strategy, Turn-Based Combat, Multiplayer, Loot, Top-Down, Tactical, Local Co-Op, Adventure, Board Game, Class-Based, Tabletop, Singleplayer",2024-03-08,Burst2Flame Entertainment,Burst2Flame Entertainment,Very Positive,"(2,386)",2008,https://store.steampowered.com/app/1330000/Stolen_Realm?snr=1_category_4_strategy_salebrowseall
Sins of a Solar Empire II,"Battle for galactic dominance in this real-time 4X strategy game with unrivaled scale! You’ll explore, expand, exploit, and exterminate through military force, diplomacy, trade, culture, influence, and other underhanded tactics.","Strategy, Space, 4X, RTS, Sci-fi, Singleplayer, Multiplayer, Tactical, Story Rich, Co-op, PvE, PvP, Immersive Sim, Real-Time, 3D, Base Building, Tutorial, Competitive, Choices Matter, Isometric",2024-08-15,"Ironclad Games Corporation, Stardock Entertainment",Stardock Entertainment,Very Positive,"(3,953)",3365,https://store.steampowered.com/app/1575940/Sins_of_a_Solar_Empire_II?snr=1_category_4_strategy_100726
Summoners War,"A global hit RPG that captured the Summoners all around the world! Jump into the Sky Arena, a world under battle over the vital resource: Mana Crystals. Design your own deck and strategy using over 1,500 Monsters to claim victory. Go on an epic adventure with your Monsters!","Free to Play, RPG, Strategy, RTS, Strategy RPG, Turn-Based Strategy, Tactical RPG, Turn-Based Tactics, PvP, Real Time Tactics, PvE, Tutorial, Turn-Based Combat, Lore-Rich, Fantasy, Colorful, Anime, Cinematic, Multiplayer, Party-Based RPG",2024-01-07,Com2uS,Com2uS,Mostly Positive,"(6,355)",2395,https://store.steampowered.com/app/2426960/Summoners_War?snr=1_category_4_strategy_100726
Frostpunk,"Frostpunk is the first society survival game. As the ruler of the last city on Earth, it is your duty to manage both its citizens and infrastructure. What decisions will you make to ensure your societys survival? What will you do when pushed to breaking point? Who will you become in the process?","City Builder, Survival, Resource Management, Strategy, Post-apocalyptic, Steampunk, Colony Sim, Building, Base Building, Singleplayer, Simulation, Management, Choices Matter, Atmospheric, Economy, Dark, Difficult, RTS, Great Soundtrack, Real-Time with Pause",2018-04-24,11 bit studios,11 bit studios,Very Positive,"(93,041)",40384,https://store.steampowered.com/app/323190/Frostpunk?snr=1_category_4_strategy_100726
Age of Empires IV: Anniversary Edition,"Celebrating its first year of delighting millions of global players, the award-winning and best-selling strategy franchise continues with Age of Empires IV: Anniversary Edition, putting you at the center of even more epic historical battles that shaped the world.","Strategy, RTS, Base Building, War, Multiplayer, Singleplayer, Medieval, Resource Management, City Builder, Historical, Action RTS, PvP, PvE, Co-op, 3D, Isometric, Management, Open World, Online Co-Op, Mature",2021-10-28,"Relic Entertainment, Forgotten Empires, Climax Studios, 'Worlds Edge'",Xbox Game Studios,Very Positive,"(53,466)",27543,https://store.steampowered.com/app/1466860/Age_of_Empires_IV_Anniversary_Edition?snr=1_category_4_strategy_100726
Europa Universalis IV,"Europa Universalis IV gives you control of a nation through four dramatic centuries. Rule your land and dominate the world with unparalleled freedom, depth and historical accuracy. Write a new history of the world and build an empire for the ages.","Grand Strategy, Strategy, Historical, Simulation, 4X, Alternate History, Diplomacy, Military, Wargame, Economy, Replay Value, Sandbox, Political, Real-Time with Pause, Moddable, Nonlinear, Co-op, Management, Singleplayer, Multiplayer",2013-08-13,"Paradox Development Studio, Paradox Tinto",Paradox Interactive,Very Positive,"(86,744)",64805,https://store.steampowered.com/app/236850/Europa_Universalis_IV?snr=1_category_4_strategy_100726
Balatro,"The poker roguelike. Balatro is a hypnotically satisfying deckbuilder where you play illegal poker hands, discover game-changing jokers, and trigger adrenaline-pumping, outrageous combos.","Roguelike Deckbuilder, Card Game, Roguelike, Deckbuilding, Singleplayer, Strategy, Card Battler, Turn-Based, Replay Value, Pixel Graphics, Choices Matter, Roguelite, Casual, Turn-Based Strategy, Difficult, 2D, Arcade, Simulation, Relaxing, Procedural Generation",2024-02-20,LocalThunk,Playstack,Overwhelmingly Positive,"(42,900)",32160,https://store.steampowered.com/app/2379780/Balatro?snr=1_category_4_strategy_100726
Age of Empires II: Definitive Edition,"Age of Empires II: Definitive Edition features “The Last Khans” with 3 new campaigns and 4 new Civilizations. Frequent updates include events, additional content, new game modes, and enhanced features with the recent addition of Co-Op mode!","Strategy, RTS, City Builder, Multiplayer, Base Building, Historical, Singleplayer, Medieval, Resource Management, Classic, Tactical, Real-Time, Co-op, Remake, Isometric, 2D, Replay Value, Action, Great Soundtrack, Adventure",2019-11-14,"Forgotten Empires, Tantalus Media, Wicked Witch, 'Worlds Edge'",Xbox Game Studios,Very Positive,"(131,277)",57295,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition?snr=1_category_4_strategy_100726
MARVEL SNAP,"MARVEL SNAP is a fast-paced Collectible Card Game that reimagines the genre with innovative mechanics. Winner of multiple awards like Best Strategy Game and Breakthrough Game of the Year, we invite you to join millions of players worldwide – Jump right in!","Free to Play, Card Battler, Strategy, Card Game, Multiplayer, Turn-Based Tactics, PvP, Casual, Superhero, Deckbuilding, Comic Book, Stylized, Trading Card Game, Early Access, Co-op, Mouse only",2023-08-22,"Second Dinner Studios, Inc.",Nuverse,Very Positive,"(27,412)",15130,https://store.steampowered.com/app/1997040/MARVEL_SNAP?snr=1_category_4_strategy_100726
Tactical Breach Wizards,"In Tactical Breach Wizards, you lead a team of renegade wizards in kevlar through turn-based battles to unravel a modern conspiracy plot. Combine their unique spells in clever ways, or rewind time to try every crazy plan you can think of to punch a Traffic Warlock through a 4th story window.","Turn-Based Tactics, Puzzle, Story Rich, Turn-Based Strategy, Turn-Based, Funny, Singleplayer, Strategy RPG, Tactical, Tactical RPG, RPG, Adventure, Military, Indie, Mystery, Isometric, Comedy, Fantasy, Strategy, Satire",2024-08-22,Suspicious Developments Inc,Suspicious Developments,Overwhelmingly Positive,"(4,950)",4766,https://store.steampowered.com/app/1043810/Tactical_Breach_Wizards?snr=1_category_4_strategy_100726
Total War: MEDIEVAL II – Definitive Edition,"Spanning the most turbulent era in Western history, your quest for territory and power takes you through Europe, Africa, the Middle East, and even onto the shores of the New World.","Strategy, Medieval, Historical, Turn-Based Strategy, Grand Strategy, War, RTS, Tactical, Singleplayer, Multiplayer, Moddable, Military, Turn-Based, Real Time Tactics, Classic, Simulation, Action, Sandbox, Great Soundtrack, 4X",2006-11-15,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Overwhelmingly Positive,"(23,553)",19019,https://store.steampowered.com/app/4700/Total_War_MEDIEVAL_II__Definitive_Edition?snr=1_category_4_strategy_100727
Sid Meiers Civilization® V,"Create, discover, and download new player-created maps, scenarios, interfaces, and more!","Turn-Based Strategy, Strategy, Turn-Based, Multiplayer, Historical, 4X, Addictive, Singleplayer, Hex Grid, Grand Strategy, Replay Value, Co-op, Economy, Tactical, Diplomacy, Moddable, Simulation, Classic, Great Soundtrack, Touch-Friendly",2010-09-23,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",Overwhelmingly Positive,"(121,085)",122805,https://store.steampowered.com/app/8930/Sid_Meiers_Civilization_V?snr=1_category_4_strategy_100727
Plants vs. Zombies GOTY Edition,"Zombies are invading your home, and the only defense is your arsenal of plants! Armed with an alien nursery-worth of zombie-zapping plants like peashooters and cherry bombs, youll need to think fast and plant faster to stop dozens of types of zombies dead in their tracks.","Tower Defense, Zombies, Strategy, Singleplayer, Casual, Classic, 2D, Comedy, Great Soundtrack, Family Friendly, Funny, Puzzle, Addictive, Cute, Survival, Indie, Tactical, Adventure, Touch-Friendly, Post-apocalyptic",2009-05-05,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",Overwhelmingly Positive,"(120,413)",38015,https://store.steampowered.com/app/3590/Plants_vs_Zombies_GOTY_Edition?snr=1_category_4_strategy_100727
Age of Empires II (Retired),"Age of Empires II has been re-imagined in high definition. With the release of Age of Empires II: Definitive Edition, this product will not be updated further.","Strategy, RTS, Medieval, Multiplayer, Classic, Historical, Base Building, City Builder, Resource Management, Singleplayer, Tactical, Real-Time, Co-op, Competitive, Replay Value, Remake, 2D, Isometric, Action, Adventure",2013-04-09,"Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires",Xbox Game Studios,Overwhelmingly Positive,"(82,338)",43872,https://store.steampowered.com/app/221380/Age_of_Empires_II_Retired?snr=1_category_4_strategy_100727
Ultimate General: Civil War,Ultimate General: Civil War is a tactical real time strategy war-game. Experience the bloodiest period of U.S. history - the American Civil War of 1861-1865.,"Wargame, Real Time Tactics, War, America, Tabletop, RTS, Grand Strategy, Strategy, Historical, Board Game, Strategy RPG, Education, Turn-Based Strategy, Tactical, Military, Combat, Simulation, Singleplayer, Multiplayer, Indie",2017-07-14,Game-Labs,Game-Labs,Very Positive,"(7,428)",5197,https://store.steampowered.com/app/502520/Ultimate_General_Civil_War?snr=1_category_4_strategy_100727
Dune: Imperium,The award-winning board game of strategy and intrigue in the iconic universe of Dune. The Spice must flow.,"Board Game, Strategy, Deckbuilding, Sci-fi, Simulation, Card Game, Grand Strategy, Tabletop, Space Sim, Top-Down, Dystopian, Economy, Fantasy, Futuristic, Lore-Rich, Military, Political, Space, Choices Matter, Combat",2024-03-13,Dire Wolf,Dire Wolf,Overwhelmingly Positive,"(2,104)",1470,https://store.steampowered.com/app/1689500/Dune_Imperium?snr=1_category_4_strategy_100727
STAR WARS™ Empire at War - Gold Pack,"Command or corrupt an entire galaxy in the definitive Star Wars strategy collection. It is a time of galactic civil war. Will you take up the reins of the Rebellion, assume control of the Empire, or rule the Star Wars Underworld?","Strategy, RTS, Space, Sci-fi, Multiplayer, Singleplayer, Moddable, Mod, Tactical, War, Action, Classic, Great Soundtrack, Grand Strategy, Simulation, 4X, Co-op, Adventure, Atmospheric, Epic",2006-02-16,Petroglyph,"LucasArts, Lucasfilm, Disney",Overwhelmingly Positive,"(31,032)",26262,https://store.steampowered.com/app/32470/STAR_WARS_Empire_at_War__Gold_Pack?snr=1_category_4_strategy_100727
